,episode_reward,episode,duration,step,batch_reward,critic_loss,actor_loss,actor_target_entropy,actor_entropy,alpha_loss,alpha_value
0,0.0,1.0,37.1664559841156,500,,,,,,,
1,3.0,2.0,1.2626867294311523,1000,,,,,,,
2,11.0,3.0,152.43513441085815,1500,0.01107421875,0.06418418550933712,-0.15909295754879713,-2.0,2.5251792783737184,0.3217965438365936,0.09877077589020054
3,0.0,4.0,152.61539149284363,2000,0.00969921875,0.03576397565938532,-0.5026524603366852,-2.0,2.5921466093063357,0.31385881948471067,0.0963445995077662
4,8.0,5.0,152.80618000030518,2500,0.014125,0.07340318208560348,-0.7971405415534973,-2.0,2.6132427501678466,0.29554595065116884,0.09407779061256281
5,20.0,6.0,152.77446746826172,3000,0.02023828125,0.10418411902338266,-1.1716194756031035,-2.0,2.506498396873474,0.272925390124321,0.09193800759217437
6,35.0,7.0,152.82474851608276,3500,0.03537890625,0.19550003845989705,-1.7363305659294128,-2.0,2.3233326420783995,0.23752336645126343,0.08998205051105937
7,79.0,8.0,152.8778440952301,4000,0.0603984375,0.31604359421133993,-2.4620147790908815,-2.0,2.1224150223731995,0.2025909932255745,0.08821193498178485
8,153.0,9.0,152.83022260665894,4500,0.1002265625,0.43171032577753066,-3.502254532814026,-2.0,1.8062057700157166,0.14962990418076516,0.08674150525455565
9,290.0,10.0,,5000,0.1741953125,0.44654838848114015,-5.11766284942627,-2.0,1.526986023426056,0.10180507412552833,0.08559500665982614
10,,,189.12341570854187,5000,,,,,,,
11,522.0,11.0,152.61668825149536,5500,0.26712890625,0.38895256251096727,-7.228606708526612,-2.0,1.3448968620300292,0.06789952951669694,0.08475169764753938
12,604.0,12.0,152.7039315700531,6000,0.352421875,0.4128719009757042,-9.52224613571167,-2.0,1.2485927715301515,0.0468040072247386,0.08411241752125752
13,646.0,13.0,152.87167191505432,6500,0.42862109375,0.41908316403627394,-11.934195083618164,-2.0,1.2028041660785675,0.03244601552560925,0.08360346653288023
14,664.0,14.0,152.78241348266602,7000,0.49920703125,0.4076434169411659,-14.550769603729249,-2.0,1.1407717120647431,0.01805020684283227,0.08323946180858971
15,705.0,15.0,152.83982181549072,7500,0.56708984375,0.420555655837059,-17.40018872451782,-2.0,1.0959481081962585,0.005050741765182465,0.08305188464558645
16,733.0,16.0,152.78942227363586,8000,0.6207734375,0.3941142656803131,-20.330684310913085,-2.0,1.069306666135788,-0.0043662306708283725,0.08307075818505757
17,725.0,17.0,152.8810694217682,8500,0.67069140625,0.4363518103659153,-23.183125564575196,-2.0,1.0467087595462798,-0.007738323297351599,0.08320169187316732
18,735.0,18.0,152.96227717399597,9000,0.72209375,0.3882033645808697,-26.068342018127442,-2.0,1.008422043323517,-0.009958651720080525,0.08341583314377805
19,761.0,19.0,152.8220202922821,9500,0.76270703125,0.3897310089468956,-28.87599387359619,-2.0,0.9695796678066254,-0.010933625098317861,0.08371020854915705
20,778.0,20.0,,10000,0.8041796875,0.3502900499403477,-31.683153900146486,-2.0,0.9467685399055481,-0.01146051354915835,0.08405802242268721
21,,,189.21776866912842,10000,,,,,,,
22,740.0,21.0,152.91951847076416,10500,0.84089453125,0.34929195272922514,-34.46044970703125,-2.0,0.9278044290542603,-0.011563366014743224,0.08445416560498352
23,771.0,22.0,152.9235897064209,11000,0.87358203125,0.38819741377234457,-37.11866488647461,-2.0,0.9069527134895324,-0.013726555677130818,0.08496011474731602
24,798.0,23.0,152.97223138809204,11500,0.90332421875,0.330710747808218,-39.78891523742676,-2.0,0.8922908542156219,-0.014218778972979636,0.08560210642207647
25,793.0,24.0,152.9383704662323,12000,0.931609375,0.3151687242090702,-42.422065338134765,-2.0,0.8970564539432526,-0.013925576098728925,0.08632339880801844
26,778.0,25.0,152.91516375541687,12500,0.9582109375,0.31125697603821756,-44.98607084655762,-2.0,0.8738987951278686,-0.010384359874762595,0.08699678264270991
27,788.0,26.0,152.9263048171997,13000,0.98275,0.33781822511553766,-47.42510284423828,-2.0,0.8412220323085785,-0.00894715823745355,0.08761861162430867
28,794.0,27.0,153.00723218917847,13500,1.00979296875,0.30013422718644145,-49.86430041503906,-2.0,0.8585733721256256,-0.008135868359357118,0.08819541357054624
29,817.0,28.0,152.94191765785217,14000,1.029609375,0.2901699631512165,-52.181118881225586,-2.0,0.8600686602592468,-0.007875120649812743,0.08882118812660564
30,812.0,29.0,152.93845653533936,14500,1.04883984375,0.2968428267836571,-54.51080451965332,-2.0,0.8507948853969574,-0.007175347467884422,0.08948951154904894
31,798.0,30.0,,15000,1.066671875,0.31700401252508165,-56.7709425201416,-2.0,0.8587722039222717,-0.007743720351019875,0.09022943163609619
32,,,189.2628834247589,15000,,,,,,,
33,817.0,31.0,152.77509903907776,15500,1.082765625,0.29579743832349775,-58.92501745605469,-2.0,0.8439826369285583,-0.004953752793604508,0.09083425970552123
34,780.0,32.0,152.67938470840454,16000,1.10079296875,0.31239613974094393,-61.066620056152345,-2.0,0.8336664257049561,-0.0077237194757908585,0.09156235463229416
35,822.0,33.0,152.68308568000793,16500,1.1183515625,0.3052559640109539,-63.13217951965332,-2.0,0.825351888179779,-0.004155022999271751,0.09234893833429816
36,805.0,34.0,152.75585460662842,17000,1.13610546875,0.3000672059953213,-65.20170140075683,-2.0,0.832433741569519,-0.002645764206070453,0.09280877497554031
37,806.0,35.0,152.7663288116455,17500,1.14759375,0.3333114583790302,-67.129484375,-2.0,0.8337728023529053,-0.004213219281751663,0.09321095675945712
38,809.0,36.0,152.7611768245697,18000,1.15733203125,0.30249429351091384,-69.04154757690429,-2.0,0.8092343826293945,-0.0026896868522744625,0.09380449121323531
39,826.0,37.0,152.78080105781555,18500,1.17700390625,0.28125635722279546,-71.00769412231445,-2.0,0.8157579112052917,-0.0032267352156341075,0.09429471188604438
